term,estimate
week1::(Intercept),-5.169842573
week1::prob_clim_mr_week1,0.064936665
week1::diff_ngcm_week1,-0.409311796
week1::diff_aifs_week1,0.524149786
week1::prob_clim_mr_week2,0.618464045
week1::diff_ngcm_week2,0.140954737
week1::diff_aifs_week2,-1.262535636
week1::prob_clim_mr_week3,0.269089037
week1::diff_ngcm_week3,0.184408607
week1::diff_aifs_week3,0.025814256
week1::prob_clim_mr_week4,-0.327056864
week1::diff_ngcm_week4,-0.564276712
week1::diff_aifs_week4,-0.367567973
week1::min_ngcm_10day_week1,0.037577628
week1::min_ngcm_10day_week2,0.006787823
week1::min_ngcm_10day_week3,0.02707719
week1::min_ngcm_10day_week4,0.299919409
week1::min_aifs_10day_week1,1.166114504
week1::min_aifs_10day_week2,0.846055086
week1::min_aifs_10day_week3,-0.261278348
week1::min_aifs_10day_week4,0.195255103
week1::prob_clim_mr_week1:diff_ngcm_week1,-0.281546563
week1::prob_clim_mr_week1:diff_aifs_week1,-0.204124246
week1::diff_ngcm_week1:diff_aifs_week1,-0.597138035
week1::prob_clim_mr_week2:diff_ngcm_week2,-0.302717661
week1::prob_clim_mr_week2:diff_aifs_week2,-0.305690919
week1::diff_ngcm_week2:diff_aifs_week2,-0.194527264
week1::prob_clim_mr_week3:diff_ngcm_week3,0.064051923
week1::prob_clim_mr_week3:diff_aifs_week3,-0.255978218
week1::diff_ngcm_week3:diff_aifs_week3,0.275863982
week1::prob_clim_mr_week4:diff_ngcm_week4,-0.629832522
week1::prob_clim_mr_week4:diff_aifs_week4,-0.139245104
week1::diff_ngcm_week4:diff_aifs_week4,1.547414311
week1::prob_clim_mr_week1:diff_ngcm_week1:diff_aifs_week1,-0.369509175
week1::prob_clim_mr_week2:diff_ngcm_week2:diff_aifs_week2,-0.048633865
week1::prob_clim_mr_week3:diff_ngcm_week3:diff_aifs_week3,0.00947258
week1::prob_clim_mr_week4:diff_ngcm_week4:diff_aifs_week4,0.82219437
week2::(Intercept),-4.022212113
week2::prob_clim_mr_week1,-0.180289055
week2::diff_ngcm_week1,-0.616027142
week2::diff_aifs_week1,-0.124231582
week2::prob_clim_mr_week2,0.722933674
week2::diff_ngcm_week2,0.28297371
week2::diff_aifs_week2,-0.426428782
week2::prob_clim_mr_week3,0.640502039
week2::diff_ngcm_week3,0.307791576
week2::diff_aifs_week3,-0.568501358
week2::prob_clim_mr_week4,-0.55264874
week2::diff_ngcm_week4,-1.210088725
week2::diff_aifs_week4,0.541035043
week2::min_ngcm_10day_week1,-0.414859683
week2::min_ngcm_10day_week2,0.689253958
week2::min_ngcm_10day_week3,0.358900884
week2::min_ngcm_10day_week4,0.352258547
week2::min_aifs_10day_week1,-0.408393384
week2::min_aifs_10day_week2,1.23328466
week2::min_aifs_10day_week3,-0.230279299
week2::min_aifs_10day_week4,0.175362712
week2::prob_clim_mr_week1:diff_ngcm_week1,-0.128500359
week2::prob_clim_mr_week1:diff_aifs_week1,-0.115490651
week2::diff_ngcm_week1:diff_aifs_week1,-0.39644325
week2::prob_clim_mr_week2:diff_ngcm_week2,0.018498298
week2::prob_clim_mr_week2:diff_aifs_week2,-0.218261968
week2::diff_ngcm_week2:diff_aifs_week2,-0.143858955
week2::prob_clim_mr_week3:diff_ngcm_week3,0.330171985
week2::prob_clim_mr_week3:diff_aifs_week3,-0.348027603
week2::diff_ngcm_week3:diff_aifs_week3,-1.449632396
week2::prob_clim_mr_week4:diff_ngcm_week4,-0.868066492
