target_id,source_id,weight
325653,8.25_77.00,0.283616567888631
325653,8.25_77.25,0.0925243458463315
325653,8.50_77.00,0.372525002754508
325653,8.50_77.25,0.25133408351053
335755068,8.25_77.00,0.0735070603831156
335755068,8.25_77.25,0.926492939616884
335753640,8.25_77.25,0.489598907268715
335753640,8.50_77.25,0.510401092731285
335753641,8.25_77.25,0.907180644589896
335753641,8.25_77.50,0.092819355410104
335753643,8.25_77.25,0.101599394765124
335753643,8.25_77.50,0.898400605234876
335755067,8.25_77.25,0.241494674202703
335755067,8.25_77.50,0.0387312230434998
335755067,8.50_77.25,0.517994131330216
335755067,8.50_77.50,0.201779971423581
335923644,8.25_77.50,0.355935744636528
335923644,8.25_77.75,0.546639265723683
335923644,8.50_77.50,0.0589715082812375
335923644,8.50_77.75,0.0384534813585518
335753642,8.25_77.50,0.828676913778536
335753642,8.50_77.50,0.171323086221464
335943613,8.25_77.75,0.0281663709957124
335943613,8.50_77.75,0.295385927195777
335943613,8.50_78.00,0.676447701808511
335925058,8.25_77.75,0.576362514203176
335925058,8.50_77.75,0.423637485796824
325654,8.50_76.75,0.00778542373048481
325654,8.75_76.75,0.77755293786681
325654,8.75_77.00,0.214661638402706
325652,8.50_76.75,0.162808313723481
325652,8.50_77.00,0.749448623716773
325652,8.75_76.75,0.0730743290081385
325652,8.75_77.00,0.0146687335516082
325656,8.50_77.00,0.197978532223728
325656,8.50_77.25,0.00452440184040874
325656,8.75_76.75,0.000894770523832539
325656,8.75_77.00,0.628519861841938
325656,8.75_77.25,0.168082433570093
325655,8.50_77.00,0.379751254140571
325655,8.50_77.25,0.576321511835134
325655,8.75_77.25,0.0439272340242956
337333651,8.50_77.25,0.00679473305861814
337333651,8.75_77.25,0.564610264911135
337333651,8.75_77.50,0.104164610441616
337333651,9.00_77.25,0.254009850514013
337333651,9.00_77.50,0.0704205410746185
335923646,8.50_77.25,0.21442522874331
335923646,8.50_77.50,0.226853521438543
335923646,8.75_77.25,0.122741795454555
335923646,8.75_77.50,0.435979454363592
335923645,8.50_77.25,0.00165510592214745
335923645,8.50_77.50,0.518884558657702
335923645,8.50_77.75,0.479460335420151
335923648,8.50_77.50,0.000396887345775498
335923648,8.50_77.75,0.130985730098939
335923648,8.75_77.50,0.000479208779951736
335923648,8.75_77.75,0.868138173775334
335925057,8.50_77.50,0.173978221629809
335925057,8.75_77.50,0.762199556862974
335925057,8.75_77.75,0.0638222215072172
335943612,8.50_77.75,0.151667054783737
335943612,8.50_78.00,0.061959042434403
335943612,8.75_77.75,0.279756923972
335943612,8.75_78.00,0.50661697880986
335945042,8.50_77.75,2.51373063947691e-05
335945042,8.50_78.00,0.513031244786261
335945042,8.75_78.00,0.486943617907344
335943611,8.50_78.00,0.967213888797496
335943611,8.75_78.00,0.0327861112025042
3255912,8.75_76.50,0.0156636152985462
3255912,8.75_76.75,0.362681695930623
3255912,9.00_76.50,0.236404726425708
3255912,9.00_76.75,0.385249962345124
325599,8.75_76.75,0.0867548438787067
325599,8.75_77.00,0.248172600472116
325599,9.00_76.75,0.613023834914995
325599,9.00_77.00,0.0520487207341827
325651,8.75_76.75,1
325597,8.75_77.00,0.0740434828485466
325597,8.75_77.25,0.138376402484249
325597,9.00_76.75,0.0254357145182073
325597,9.00_77.00,0.587951104504624
325597,9.00_77.25,0.173994979967602
325597,9.25_77.00,0.000198315676771245
337333654,8.75_77.50,0.625768292072912
337333654,9.00_77.50,0.374231707927088
335923647,8.75_77.50,0.352069456076221
335923647,8.75_77.75,0.63853380060379
335923647,9.00_77.75,0.00939674331998945
335925056,8.75_77.50,0.0470993684775969
335925056,8.75_77.75,0.314373081458822
335925056,9.00_77.50,0.136513375528195
335925056,9.00_77.75,0.502014174535386
335943608,8.75_77.75,0.0560860566138689
335943608,8.75_78.00,0.203021072011145
335943608,9.00_77.75,0.0287102832940554
335943608,9.00_78.00,0.712182588080931
335945037,8.75_77.75,0.000386985740037523
335945037,9.00_77.75,0.583174193333259
335945037,9.00_78.00,0.18509143027966
335945037,9.25_77.75,0.231347390647044
335943614,8.75_78.00,1
3255440,9.00_76.50,0.00126698150129534
3255440,9.25_76.50,0.998733018498705
3255441,9.00_76.50,0.0236259510148402
3255441,9.25_76.50,0.793718603589575
3255441,9.25_76.75,0.182655445395585
3255910,9.00_76.50,0.965413684731227
3255910,9.25_76.50,0.0345863152687734
3255911,9.00_76.50,0.422441036099333
3255911,9.00_76.75,0.551366043156969
3255911,9.25_76.50,0.013664463859529
3255911,9.25_76.75,0.0125284568841691
3256453,9.00_76.75,0.265231967931232
3256453,9.25_76.75,0.734768032068768
325598,9.00_76.75,0.369299611682838
325598,9.00_77.00,0.526688618003989
325598,9.25_76.75,0.000411939049605127
325598,9.25_77.00,0.103599831263568
3256455,9.00_76.75,0.00364156367852438
3256455,9.00_77.00,0.0140242832747011
3256455,9.00_77.25,0.0361151581248293
3256455,9.25_76.75,0.111978238353043
3256455,9.25_77.00,0.46989675419145
3256455,9.25_77.25,0.27707651144695
3256455,9.50_77.00,0.0263525755137066
3256455,9.50_77.25,0.0609149154167955
337333652,9.00_77.25,1
337335048,9.00_77.25,0.375225986342495
337335048,9.00_77.50,0.237967467644708
337335048,9.25_77.25,0.204984144032009
337335048,9.25_77.50,0.181822401980788
337333649,9.00_77.50,0.444739913638314
337333649,9.00_77.75,0.00210351203532431
337333649,9.25_77.50,0.553078481552402
337333649,9.50_77.50,7.80927739606941e-05
337333650,9.00_77.50,1
337335051,9.00_77.50,0.00472992337989201
337335051,9.00_77.75,0.207516049898339
337335051,9.25_77.50,0.265547591827777
337335051,9.25_77.75,0.522206434893992
335943607,9.00_77.75,0.31540584961452
335943607,9.00_78.00,0.0976463530749448
335943607,9.25_77.75,0.381776037083895
335943607,9.25_78.00,0.20517176022664
335943609,9.00_78.00,0.299128569136628
335943609,9.25_78.00,0.700871430863372
335943610,9.00_78.00,0.140908969967286
335943610,9.25_78.00,0.144080830982562
335943610,9.25_78.25,0.715010199050152
3255444,9.25_76.25,0.0317566681626944
3255444,9.25_76.50,0.10580804339727
3255444,9.50_76.25,0.740110291145305
3255444,9.50_76.50,0.122324997294731
3255443,9.25_76.50,0.134790113129678
3255443,9.50_76.25,0.0322259450200089
3255443,9.50_76.50,0.832983941850313
3255442,9.25_76.50,0.732221298582057
3255442,9.25_76.75,0.267778701417943
3256451,9.25_76.50,0.354498110232879
3256451,9.25_76.75,0.249920712677258
3256451,9.50_76.50,0.351486779467538
3256451,9.50_76.75,0.0440943976223247
3256452,9.25_76.75,0.000731867493331172
3256452,9.50_76.50,0.0870323605996634
3256452,9.50_76.75,0.912235771907005
3256456,9.25_76.75,0.240492383888383
3256456,9.25_77.00,0.119773481935417
3256456,9.50_76.75,0.245453445388592
3256456,9.50_77.00,0.352883273866767
3256456,9.50_77.25,0.0413974149208409
3256454,9.25_76.75,1
3255647,9.25_77.25,0.0637603605412055
3255647,9.50_77.00,0.336171392387573
3255647,9.50_77.25,0.395601332528778
3255647,9.50_77.50,0.0154416633470673
3255647,9.75_76.75,0.000923078465953756
3255647,9.75_77.00,0.18092953262024
3255647,9.75_77.25,0.00717264010918182
337333653,9.25_77.25,0.390426489439686
337333653,9.25_77.50,0.547427972712654
337333653,9.50_77.25,0.0312955849029188
337333653,9.50_77.50,0.0308499529447409
335973510,9.25_77.50,0.142115051266166
335973510,9.50_77.25,0.0384946380564382
335973510,9.50_77.50,0.8083043012211
335973510,9.50_77.75,0.0110860094562966
335975049,9.25_77.50,0.0590620651057768
335975049,9.25_77.75,0.730768402300354
335975049,9.25_78.00,0.000576447860765626
335975049,9.50_77.50,0.00281722635598366
335975049,9.50_77.75,0.20677585837712
335973512,9.25_77.75,0.0375245950172282
335973512,9.50_77.75,0.906297556819813
335973512,9.50_78.00,0.0271973429559849
335973512,9.75_77.75,0.0289805052069742
335973517,9.25_77.75,0.0548096533809561
335973517,9.25_78.00,0.650457483936124
335973517,9.50_77.75,0.0100641439996307
335973517,9.50_78.00,0.284668718683289
335973516,9.25_78.00,0.014369856745292
335973516,9.25_78.25,0.243994349567282
335973516,9.50_78.00,0.402434499126963
