"","lat","lon","cluster2","cluster3"
"1",22,70,"1",1
"2",22,72,"1",1
"3",24,72,"1",1
"4",16,74,"2",2
"5",18,74,"2",2
"6",20,74,"2",2
"7",22,74,"1",1
"8",24,74,"1",1
"9",26,74,"1",1
"10",28,74,"1",1
"11",34,74,"2",3
"12",12,76,"2",2
"13",14,76,"2",2
"14",16,76,"2",2
"15",18,76,"2",2
"16",20,76,"1",1
"17",22,76,"1",1
"18",24,76,"1",1
"19",26,76,"1",1
"20",28,76,"1",1
"21",30,76,"1",1
"22",32,76,"2",3
"23",34,76,"2",3
"24",10,78,"2",2
"25",12,78,"2",2
"26",14,78,"2",2
"27",16,78,"2",2
"28",18,78,"2",2
"29",20,78,"2",2
"30",22,78,"2",2
"31",24,78,"1",1
"32",26,78,"1",1
"33",28,78,"1",1
"34",30,78,"2",3
"35",32,78,"2",3
"36",34,78,"2",3
"37",14,80,"2",2
"38",16,80,"2",2
"39",18,80,"2",2
"40",20,80,"2",2
"41",22,80,"2",2
"42",24,80,"2",3
"43",26,80,"2",3
"44",28,80,"2",3
"45",18,82,"2",2
"46",20,82,"2",2
"47",22,82,"2",2
"48",24,82,"2",3
"49",26,82,"2",3
"50",20,84,"2",2
"51",22,84,"2",3
"52",24,84,"2",2
"53",26,84,"2",3
"54",22,86,"2",2
"55",24,86,"2",2
"56",22,88,"2",2
"57",24,88,"2",2
"58",24,92,"2",5
"59",26,92,"2",5
"60",26,94,"2",5
"61",28,96,"2",5
"62",26,72,"1",1
