"","lat","lon","onset_threshold"
"1",22,70,32.3512695
"2",24,70,31.0466563
"3",20,72,68.83929073
"4",22,72,31.22858847
"5",24,72,31.09810456
"6",26,72,19.10221773
"7",28,72,14.00985185
"8",16,74,60.31601642
"9",18,74,49.11844299
"10",20,74,49.9930202
"11",22,74,39.46527145
"12",24,74,35.80061068
"13",26,74,25.17760877
"14",28,74,16.54289244
"15",30,74,14.60542105
"16",34,74,32.59383807
"17",36,74,23.91675146
"18",10,76,44.32175499
"19",12,76,52.09163
"20",14,76,26.9060823
"21",16,76,16.0410893
"22",18,76,21.11086483
"23",20,76,25.86437664
"24",22,76,32.91485194
"25",24,76,37.42688421
"26",26,76,29.95592973
"27",28,76,21.4191179
"28",30,76,19.4724486
"29",32,76,36.99470657
"30",34,76,40.59470108
"31",10,78,16.51860066
"32",12,78,18.63043292
"33",14,78,17.80956393
"34",16,78,20.07895415
"35",18,78,26.52172718
"36",20,78,31.96824875
"37",22,78,37.8100478
"38",24,78,41.94923858
"39",26,78,32.27714436
"40",28,78,26.36131946
"41",30,78,40.07421401
"42",32,78,25.66930492
"43",34,78,45.11594178
"44",14,80,20.26033445
"45",16,80,21.70682252
"46",18,80,28.65240494
"47",20,80,40.29803229
"48",22,80,45.20273154
"49",24,80,42.46671768
"50",26,80,31.92379054
"51",28,80,34.68650195
"52",30,80,37.07159672
"53",18,82,29.85842349
"54",20,82,39.42442044
"55",22,82,39.45823447
"56",24,82,38.63483541
"57",26,82,33.86225893
"58",20,84,32.92757643
"59",22,84,41.61224386
"60",24,84,35.64330081
"61",26,84,34.21565486
"62",22,86,36.2360685
"63",24,86,35.86248276
"64",26,86,34.19012996
"65",22,88,41.64523262
"66",24,88,36.23365217
"67",26,88,50.7580741
"68",26,90,77.06736308
"69",24,92,51.61056931
"70",26,92,41.87651091
"71",28,92,46.33334283
"72",26,94,37.00648238
"73",28,94,70.87571483
"74",28,96,88.08680688
