lon,lat,num_farmers,dissem_30,dissemS_30,dissem_15,dissem_15_30,dissemS_15_30,dissem33_30,dissem33_15,dissem33_15_30,dissem33N6_15
82,24,1208348.1,1,0,1,1,0,1,1,1,1
74,18,1430534.5,0,0,0,0,0,0,0,0,0
74,16,1176551,0,0,0,0,0,0,0,0,0
80,20,779142.31,1,0,1,1,0,1,1,1,1
74,20,1349987.1,0,0,0,0,0,0,0,0,0
84,24,1409926.6,0,0,1,0,0,0,1,0,1
94,28,216201.33,0,0,0,0,0,0,0,0,0
80,24,1245227.6,1,1,1,1,1,1,1,1,1
80,22,1308993,1,1,1,1,1,1,1,1,1
88,26,1730192.5,0,0,0,0,0,0,0,0,0
92,26,772804.38,0,0,0,0,0,0,0,0,0
76,12,1722385.6,0,0,0,0,0,0,0,0,0
84,22,676254.13,0,0,1,0,0,0,1,0,1
82,22,1159093.6,1,0,1,1,0,1,1,1,1
86,24,1771284.4,0,0,1,0,0,0,1,0,0
82,20,738386.75,1,0,1,1,0,1,1,1,1
84,26,5596626,0,0,0,0,0,0,0,0,1
88,24,1869192.8,1,1,1,1,1,1,1,1,1
94,26,578127.88,0,0,0,0,0,0,0,0,0
80,26,2986058,0,0,1,0,0,0,1,0,0
78,20,1228136.6,1,0,1,1,0,1,1,1,1
78,22,1021740.3,1,1,1,1,1,1,1,1,1
96,28,157471.31,0,0,1,0,0,0,0,0,0
78,24,1268221,1,1,1,1,1,1,1,1,1
78,30,1954544.5,1,1,1,1,1,1,1,1,1
92,28,14006.516,0,0,0,0,0,0,0,0,0
82,18,741559.81,1,0,1,1,0,1,1,1,1
86,22,1122431.4,1,1,1,1,1,1,1,1,1
82,26,5882989.5,0,0,0,0,0,0,0,0,0
84,20,740934.38,1,0,1,1,0,1,1,1,1
80,28,3907894.3,1,0,1,1,0,1,1,1,1
86,26,3404992.8,0,0,0,0,0,0,0,0,0
78,26,1710115.5,1,0,1,1,0,1,1,1,1
76,24,1519690,0,0,1,0,0,0,1,0,1
76,22,1132802.9,1,1,1,1,1,1,1,1,1
76,14,1118703.9,0,0,0,0,0,0,0,0,0
76,32,978245.81,0,0,1,0,0,0,1,0,1
74,22,1685904.6,0,0,0,0,0,0,0,0,0
78,18,1512762.4,0,0,0,0,0,1,1,1,1
76,20,1651609.5,0,0,0,0,0,1,1,1,1
76,34,242347.13,0,0,0,0,0,0,0,0,0
80,18,1123270,0,0,0,0,0,1,1,1,1
78,28,3765906,0,0,0,0,0,0,1,0,1
76,18,1502200.5,0,0,0,0,0,1,1,1,1
92,24,423596.88,0,0,0,0,0,0,0,0,0
88,22,2492467.3,0,0,0,0,0,1,1,1,1
74,34,436105.41,0,0,0,0,0,0,0,0,0
76,26,1372427.3,0,0,0,0,0,0,1,0,1
74,24,1626543.8,0,0,0,0,0,0,0,0,0
74,36,1200.7266,0,0,0,0,0,0,0,0,0
72,22,1409407.1,0,0,0,0,0,0,0,0,0
78,34,3940.9575,0,0,0,0,0,0,0,0,0
76,28,1580389.8,0,0,0,0,0,0,0,0,0
74,26,1071593.8,0,0,0,0,0,0,0,0,0
76,30,1376557.9,0,0,0,0,0,0,0,0,0
80,30,465942.75,0,0,0,0,0,0,0,0,0
78,12,773473.13,0,0,0,0,0,0,0,0,0
78,16,1232733.6,0,0,0,0,0,0,0,0,0
70,22,679914.63,0,0,0,0,0,0,0,0,0
72,24,1464281.6,0,0,0,0,0,0,0,0,0
78,32,238929.33,0,0,0,0,0,0,0,0,0
78,10,539486.31,0,0,0,0,0,0,0,0,0
80,14,490093.19,0,0,0,0,0,0,0,0,0
76,16,1268274,0,0,0,0,0,0,0,0,0
80,16,913285.19,0,0,0,0,0,0,0,0,0
78,14,1162441.6,0,0,0,0,0,0,0,0,0
74,28,625075.81,0,0,0,0,0,0,0,0,0
70,24,105514.07,0,0,0,0,0,0,0,0,0
74,30,586341.94,0,0,0,0,0,0,0,0,0
72,28,196925.08,0,0,0,0,0,0,0,0,0
72,26,538890.13,0,0,0,0,0,0,0,0,0
88,12,,0,0,0,0,0,0,0,0,0
100,8,,0,0,0,0,0,0,0,0,0
90,20,,0,0,0,0,0,0,0,0,0
84,34,,0,0,0,0,0,0,0,0,0
90,38,,0,0,0,0,0,0,0,0,0
88,14,,0,0,0,0,0,0,0,0,0
68,16,,0,0,0,0,0,0,0,0,0
80,10,78265.898,0,0,0,0,0,0,0,0,0
84,10,,0,0,0,0,0,0,0,0,0
92,30,,0,0,0,0,0,0,0,0,0
68,30,,0,0,0,0,0,0,0,0,0
92,14,2463.4575,0,0,0,0,0,0,0,0,0
98,28,1079.2584,0,0,0,0,0,0,0,0,0
92,16,,0,0,0,0,0,0,0,0,0
88,32,,0,0,0,0,0,0,0,0,0
80,36,405.82568,0,0,0,0,0,0,0,0,0
72,8,,0,0,0,0,0,0,0,0,0
70,36,,0,0,0,0,0,0,0,0,0
98,18,,0,0,0,0,0,0,0,0,0
96,36,,0,0,0,0,0,0,0,0,0
82,28,2084401.5,0,0,0,0,0,0,0,0,0
82,30,164.27119,0,0,0,0,0,0,0,0,0
80,34,347.72617,0,0,0,0,0,0,0,0,0
94,14,677.79932,0,0,0,0,0,0,0,0,0
94,18,,0,0,0,0,0,0,0,0,0
100,20,,0,0,0,0,0,0,0,0,0
82,14,,0,0,0,0,0,0,0,0,0
84,28,823523.88,0,0,0,0,0,0,0,0,0
98,10,,0,0,0,0,0,0,0,0,0
84,38,,0,0,0,0,0,0,0,0,0
90,24,,0,0,0,0,0,0,0,0,0
